70936;Educacion post-secundaria no formal: Educacion Informal - Difusion Artistica y Cultural
7094101;Educacion Terciaria de pre-grado: Educacion Formal - Superior - Formacion Tecnica Profesional
7094102;Educacion Terciaria de pre-grado: Educacion Formal - Superior - Formacion Tecnologica
7094103;Educacion Terciaria de pre-grado: Educacion Formal - Superior - Formacion Profesional
70942;Educacion Terciaria de post-grado
7095;Educacion no definible por nivel
7096;Servicios de subsidio a la educacion
7097;Investigacion y desarrollo: Educacion
7098;Educacion: no clasificados
71011;Enfermedad
71012;Discapacidad
7102;Tercera edad
7103;Sobrevivientes
7104;Familia y ninez
7105;Desempleados
7106;Hogares
7107;Exclusiones sociales - no clasificados
7108;Investigacion y desarrollo: Proteccion social
7109;Proteccion social - no clasificados
