"053625";"PAGOS SUELDOS, SALARIOS Y CONTRIBUCIONES PARAFISCALES";"056125";"PAGOS SUELDOS, SALARIOS Y CONTRIBUCIONES PARAFISCALES";"063625";"PAGOS SUELDOS, SALARIOS Y CONTRIBUCIONES PARAFISCALES";"066125";"PAGOS SUELDOS, SALARIOS Y CONTRIBUCIONES PARAFISCALES";"073625";"PAGOS SUELDOS, SALARIOS Y CONTRIBUCIONES PARAFISCALES";"076125";"PAGOS SUELDOS, SALARIOS Y CONTRIBUCIONES PARAFISCALES"
"053626";"ALIMENTACION ESCOLAR";"056126";"ALIMENTACION ESCOLAR";"063626";"ALIMENTACION ESCOLAR";"066126";"ALIMENTACION ESCOLAR";"073626";"ALIMENTACION ESCOLAR";"076126";"ALIMENTACION ESCOLAR"
"053627";"CONTRATOS PARA PRESTACION DE SERVICIOS";"056127";"CONTRATOS PARA PRESTACION DE SERVICIOS";"063627";"CONTRATOS PARA PRESTACION DE SERVICIOS";"066127";"CONTRATOS PARA PRESTACION DE SERVICIOS";"073627";"CONTRATOS PARA PRESTACION DE SERVICIOS";"076127";"CONTRATOS PARA PRESTACION DE SERVICIOS"
"053639";"PAGO DE INDEMNIZACIONES Y PASIVO LABORAL - REORGANIZACION ADMINISTRATIVA Y SANEAMIENTO FISCAL";"056139";"PAGO DE INDEMNIZACIONES Y PASIVO LABORAL - REORGANIZACION ADMINISTRATIVA Y SANEAMIENTO FISCAL";"063639";"PAGO DE INDEMNIZACIONES Y PASIVO LABORAL - REORGANIZACION ADMINISTRATIVA Y SANEAMIENTO FISCAL";"066139";"PAGO DE INDEMNIZACIONES Y PASIVO LABORAL – REORGANIZACION ADMINISTRATIVA Y SANEAMIENTO FISCAL";"073639";"PAGO DE INDEMNIZACIONES Y PASIVO LABORAL – REORGANIZACION ADMINISTRATIVA Y SANEAMIENTO FISCAL";"076139";"PAGO DE INDEMNIZACIONES Y PASIVO LABORAL - REORGANIZACION ADMINISTRATIVA Y SANEAMIENTO FISCAL"
"053690";"OTROS PROGRAMAS DE INVERSION";"056190";"OTROS PROGRAMAS DE INVERSION";"063690";"OTROS PROGRAMAS DE INVERSION";"066190";"OTROS PROGRAMAS DE INVERSION";"073690";"OTROS PROGRAMAS DE INVERSION";"076190";"OTROS PROGRAMAS DE INVERSION"
"053691";"RESERVAS PRESUPUESTALES";"056191";"RESERVAS PRESUPUESTALES";"063691";"RESERVAS PRESUPUESTALES";"066191";"RESERVAS PRESUPUESTALES";"073691";"RESERVAS PRESUPUESTALES";"076191";"RESERVAS PRESUPUESTALES"
"053692";"PASIVOS EXIGIBLES";"056192";"PASIVOS EXIGIBLES";"063692";"PASIVOS EXIGIBLES";"066192";"PASIVOS EXIGIBLES";"073692";"PASIVOS EXIGIBLES";"076192";"PASIVOS EXIGIBLES"
"0537";"SECTOR JUSTICIA - APROBADOS (CR)";"0562";"SECTOR JUSTICIA - POR EJECUTAR (DB)";"0637";"SECTOR JUSTICIA - COMPROMISOS (DB)";"0662";"SECTOR JUSTICIA - OBLIGACIONES (DB)";"0737";"SECTOR JUSTICIA - PAGOS EN EFECTIVO (DB)";"0762";"SECTOR JUSTICIA - PAGADOS SIN FLUJO DE EFECTIVO (DB)"
"053701";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"056201";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"063701";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"066201";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"073701";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"076201";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR"
"053702";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"056202";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"063702";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"066202";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"073702";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"076202";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR"
"053703";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"056203";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"063703";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"066203";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"073703";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"076203";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR"
"053704";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"056204";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"063704";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"066204";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"073704";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"076204";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA"
"053705";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"056205";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"063705";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"066205";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"073705";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"076205";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA"
"053706";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"056206";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"063706";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"066206";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"073706";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"076206";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA"
"053707";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"056207";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"063707";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"066207";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"073707";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"076207";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR"
"053708";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"056208";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"063708";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"066208";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"073708";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"076208";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR"
"053709";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"056209";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"063709";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"066209";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"073709";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"076209";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS"
"053710";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"056210";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"063710";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"066210";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"073710";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"076210";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS"
"053711";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"056211";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"063711";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"066211";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"073711";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"076211";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO"
"053712";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"056212";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"063712";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"066212";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"073712";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"076212";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO"
"053713";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"056213";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"063713";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"066213";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"073713";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"076213";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS"
"053714";"ESTUDIOS DE PREINVERSION";"056214";"ESTUDIOS DE PREINVERSION";"063714";"ESTUDIOS DE PREINVERSION";"066214";"ESTUDIOS DE PREINVERSION";"073714";"ESTUDIOS DE PREINVERSION";"076214";"ESTUDIOS DE PREINVERSION"
"053715";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"056215";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"063715";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"066215";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"073715";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"076215";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO"
"053716";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"056216";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"063716";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"066216";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"073716";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"076216";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO"
"053717";"ASISTENCIA TECNICA, DIVULGACION Y CAPACITACION A FUNCIONARIOS DEL ESTADO PARA APOYO A LA ADMINISTRACION DEL ESTADO";"056217";"ASISTENCIA TECNICA, DIVULGACION Y CAPACITACION A FUNCIONARIOS DEL ESTADO PARA APOYO A LA ADMINISTRACION DEL ESTADO";"063717";"ASISTENCIA TECNICA, DIVULGACION Y CAPACITACION A FUNCIONARIOS DEL ESTADO PARA APOYO A LA ADMINISTRACION DEL ESTADO";"066217";"ASISTENCIA TECNICA, DIVULGACION Y CAPACITACION A FUNCIONARIOS DEL ESTADO PARA APOYO A LA ADMINISTRACION DEL ESTADO";"073717";"ASISTENCIA TECNICA, DIVULGACION Y CAPACITACION A FUNCIONARIOS DEL ESTADO PARA APOYO A LA ADMINISTRACION DEL ESTADO";"076217";"ASISTENCIA TECNICA, DIVULGACION Y CAPACITACION A FUNCIONARIOS DEL ESTADO PARA APOYO A LA ADMINISTRACION DEL ESTADO"
"053718";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"056218";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"063718";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"066218";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"073718";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"076218";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO"
"053719";"COORDINACION, ADMINISTRACION, PROMOCION Y/O SEGUIMIENTO DE COOPERACION TECNICA Y/O FINANCIERA PARA APOYO A LA ADMINISTRACION DEL ESTADO";"056219";"COORDINACION, ADMINISTRACION, PROMOCION Y/O SEGUIMIENTO DE COOPERACION TECNICA Y/O FINANCIERA PARA APOYO A LA ADMINISTRACION DEL ESTADO";"063719";"COORDINACION, ADMINISTRACION, PROMOCION Y/O SEGUIMIENTO DE COOPERACION TECNICA Y/O FINANCIERA PARA APOYO A LA ADMINISTRACION DEL ESTADO";"066219";"COORDINACION, ADMINISTRACION, PROMOCION Y/O SEGUIMIENTO DE COOPERACION TECNICA Y/O FINANCIERA PARA APOYO A LA ADMINISTRACION DEL ESTADO";"073719";"COORDINACION, ADMINISTRACION, PROMOCION Y/O SEGUIMIENTO DE COOPERACION TECNICA Y/O FINANCIERA PARA APOYO A LA ADMINISTRACION DEL ESTADO";"076219";"COORDINACION, ADMINISTRACION, PROMOCION Y/O SEGUIMIENTO DE COOPERACION TECNICA Y/O FINANCIERA PARA APOYO A LA ADMINISTRACION DEL ESTADO"
"053720";"CREDITOS";"056220";"CREDITOS";"063720";"CREDITOS";"066220";"CREDITOS";"073720";"CREDITOS";"076220";"CREDITOS"
"053722";"TRANSFERENCIAS";"056222";"TRANSFERENCIAS";"063722";"TRANSFERENCIAS";"066222";"TRANSFERENCIAS";"073722";"TRANSFERENCIAS";"076222";"TRANSFERENCIAS"
"053790";"OTROS PROGRAMAS DE INVERSION";"056290";"OTROS PROGRAMAS DE INVERSION";"063790";"OTROS PROGRAMAS DE INVERSION";"066290";"OTROS PROGRAMAS DE INVERSION";"073790";"OTROS PROGRAMAS DE INVERSION";"076290";"OTROS PROGRAMAS DE INVERSION"
"053791";"RESERVAS PRESUPUESTALES";"056291";"RESERVAS PRESUPUESTALES";"063791";"RESERVAS PRESUPUESTALES";"066291";"RESERVAS PRESUPUESTALES";"073791";"RESERVAS PRESUPUESTALES";"076291";"RESERVAS PRESUPUESTALES"
"053792";"PASIVOS EXIGIBLES";"056292";"PASIVOS EXIGIBLES";"063792";"PASIVOS EXIGIBLES";"066292";"PASIVOS EXIGIBLES";"073792";"PASIVOS EXIGIBLES";"076292";"PASIVOS EXIGIBLES"
"0538";"SECTOR MEDIO AMBIENTE - APROBADOS (CR)";"0563";"SECTOR MEDIO AMBIENTE - POR EJECUTAR (DB)";"0638";"SECTOR MEDIO AMBIENTE - COMPROMISOS (DB)";"0663";"SECTOR MEDIO AMBIENTE - OBLIGACIONES (DB)";"0738";"SECTOR MEDIO AMBIENTE - PAGOS EN EFECTIVO (DB)";"0763";"SECTOR MEDIO AMBIENTE - PAGADOS SIN FLUJO DE EFECTIVO (DB)"
"053801";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"056301";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"063801";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"066301";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"073801";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR";"076301";"CONSTRUCCION INFRAESTRUCTURA PROPIA DEL SECTOR"
"053802";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"056302";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"063802";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"066302";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"073802";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR";"076302";"ADQUISICION DE INFRAESTRUCTURA PROPIA DEL SECTOR"
"053803";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"056303";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"063803";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"066303";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"073803";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR";"076303";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA PROPIA DEL SECTOR"
"053804";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"056304";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"063804";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"066304";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"073804";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA";"076304";"CONSTRUCCION DE INFRAESTRUCTURA ADMINISTRATIVA"
"053805";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"056305";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"063805";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"066305";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"073805";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA";"076305";"ADQUISICION DE INFRAESTRUCTURA ADMINISTRATIVA"
"053806";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"056306";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"063806";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"066306";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"073806";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA";"076306";"MEJORAMIENTO Y MANTENIMIENTO DE INFRAESTRUCTURA ADMINISTRATIVA"
"053807";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"056307";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"063807";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"066307";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"073807";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"076307";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES,  SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR"
"053808";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"056308";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"063808";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"066308";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"073808";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR";"076308";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS PROPIOS DEL SECTOR"
"053809";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"056309";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"063809";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"066309";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOSADMINISTRATIVOS";"073809";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"076309";"ADQUISICION Y/O PRODUCCION DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS"
"053810";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"056310";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"063810";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"066310";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"073810";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS";"076310";"MANTENIMIENTO DE EQUIPOS, MATERIALES, SUMINISTROS Y SERVICIOS ADMINISTRATIVOS"
"053811";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"056311";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"063811";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"066311";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"073811";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO";"076311";"DIVULGACION, ASISTENCIA TECNICA Y CAPACITACION DEL RECURSO HUMANO"
"053812";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"056312";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"063812";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"066312";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"073812";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO";"076312";"PROTECCION Y BIENESTAR SOCIAL DEL RECURSO HUMANO"
"053813";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"056313";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"063813";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"066313";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"073813";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS";"076313";"INVESTIGACION BASICA, APLICADA Y ESTUDIOS"
"053814";"ESTUDIOS DE PREINVERSION";"056314";"ESTUDIOS DE PREINVERSION";"063814";"ESTUDIOS DE PREINVERSION";"066314";"ESTUDIOS DE PREINVERSION";"073814";"ESTUDIOS DE PREINVERSION";"076314";"ESTUDIOS DE PREINVERSION"
"053815";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"056315";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"063815";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"066315";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"073815";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO";"076315";"LEVANTAMIENTO DE INFORMACION PARA PROCESAMIENTO"
"053816";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"056316";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"063816";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"066316";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"073816";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO";"076316";"ACTUALIZACION DE INFORMACION PARA PROCESAMIENTO"
"053817";"ASISTENCIA TECNICA, DIVULGACION Y CAPACITACION A FUNCIONARIOS DEL ESTADO PARA APOYO A LA ADMINISTRACION DEL ESTADO";"056317";"ASISTENCIA TECNICA, DIVULGACION Y CAPACITACION A FUNCIONARIOS DEL ESTADO PARA APOYO A LA ADMINISTRACION DEL ESTADO";"063817";"ASISTENCIA TECNICA, DIVULGACION Y CAPACITACION A FUNCIONARIOS DEL ESTADO PARA APOYO A LA ADMINISTRACION DEL ESTADO";"066317";"ASISTENCIA TECNICA, DIVULGACION Y CAPACITACION A FUNCIONARIOS DEL ESTADO PARA APOYO A LA ADMINISTRACION DEL ESTADO";"073817";"ASISTENCIA TECNICA, DIVULGACION Y CAPACITACION A FUNCIONARIOS DEL ESTADO PARA APOYO A LA ADMINISTRACION DEL ESTADO";"076317";"ASISTENCIA TECNICA, DIVULGACION Y CAPACITACION A FUNCIONARIOS DEL ESTADO PARA APOYO A LA ADMINISTRACION DEL ESTADO"
"053818";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"056318";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"063818";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"066318";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"073818";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO";"076318";"ADMINISTRACION, ATENCION, CONTROL Y ORGANIZACION INSTITUCIONAL PARA LA GESTION DEL ESTADO"
