"032104";"ADQUISICION DE BIENES Y SERVICIOS - ENSERES Y EQUIPO DE OFICINA";"033204";"ADQUISICION DE BIENES Y SERVICIOS - ENSERES Y EQUIPO DE OFICINA";"035104";"ADQUISICION DE BIENES Y SERVICIOS - ENSERES Y EQUIPO DE OFICINA";"036104";"ADQUISICION DE BIENES Y SERVICIOS - ENSERES Y EQUIPO DE OFICINA";"037104";"ADQUISICION DE BIENES Y SERVICIOS - ENSERES Y EQUIPO DE OFICINA";"037802";"GASTOS GENERALES"
"032106";"ADQUISICION DE BIENES Y SERVICIOS - MATERIALES Y SUMINISTROS";"033206";"ADQUISICION DE BIENES Y SERVICIOS - MATERIALES Y SUMINISTROS";"035106";"ADQUISICION DE BIENES Y SERVICIOS - MATERIALES Y SUMINISTROS";"036106";"ADQUISICION DE BIENES Y SERVICIOS - MATERIALES Y SUMINISTROS";"037106";"ADQUISICION DE BIENES Y SERVICIOS - MATERIALES Y SUMINISTROS";"037802";"GASTOS GENERALES"
"032107";"ADQUISICION DE BIENES Y SERVICIOS - MANTENIMIENTO";"033207";"ADQUISICION DE BIENES Y SERVICIOS - MANTENIMIENTO";"035107";"ADQUISICION DE BIENES Y SERVICIOS - MANTENIMIENTO";"036107";"ADQUISICION DE BIENES Y SERVICIOS - MANTENIMIENTO";"037107";"ADQUISICION DE BIENES Y SERVICIOS - MANTENIMIENTO";"037802";"GASTOS GENERALES"
"032108";"ADQUISICION DE BIENES Y SERVICIOS - COMUNICACIONES Y TRANSPORTE";"033208";"ADQUISICION DE BIENES Y SERVICIOS - COMUNICACIONES Y TRANSPORTE";"035108";"ADQUISICION DE BIENES Y SERVICIOS - COMUNICACIONES Y TRANSPORTE";"036108";"ADQUISICION DE BIENES Y SERVICIOS - COMUNICACIONES Y TRANSPORTE";"037108";"ADQUISICION DE BIENES Y SERVICIOS - COMUNICACIONES Y TRANSPORTE";"037802";"GASTOS GENERALES"
"032109";"ADQUISICION DE BIENES Y SERVICIOS - IMPRESOS Y PUBLICACIONES";"033209";"ADQUISICION DE BIENES Y SERVICIOS - IMPRESOS Y PUBLICACIONES";"035109";"ADQUISICION DE BIENES Y SERVICIOS - IMPRESOS Y PUBLICACIONES";"036109";"ADQUISICION DE BIENES Y SERVICIOS - IMPRESOS Y PUBLICACIONES";"037109";"ADQUISICION DE BIENES Y SERVICIOS - IMPRESOS Y PUBLICACIONES";"037802";"GASTOS GENERALES"
"032110";"ADQUISICION DE BIENES Y SERVICIOS - SERVICIOS PUBLICOS";"033210";"ADQUISICION DE BIENES Y SERVICIOS - SERVICIOS PUBLICOS";"035110";"ADQUISICION DE BIENES Y SERVICIOS - SERVICIOS PUBLICOS";"036110";"ADQUISICION DE BIENES Y SERVICIOS - SERVICIOS PUBLICOS";"037110";"ADQUISICION DE BIENES Y SERVICIOS - SERVICIOS PUBLICOS";"037802";"GASTOS GENERALES"
"032111";"ADQUISICION DE BIENES Y SERVICIOS - SEGUROS";"033211";"ADQUISICION DE BIENES Y SERVICIOS - SEGUROS";"035111";"ADQUISICION DE BIENES Y SERVICIOS - SEGUROS";"036111";"ADQUISICION DE BIENES Y SERVICIOS - SEGUROS";"037111";"ADQUISICION DE BIENES Y SERVICIOS - SEGUROS";"037802";"GASTOS GENERALES"
"032112";"ADQUISICION DE BIENES Y SERVICIOS - ARRENDAMIENTOS";"033212";"ADQUISICION DE BIENES Y SERVICIOS - ARRENDAMIENTOS";"035112";"ADQUISICION DE BIENES Y SERVICIOS - ARRENDAMIENTOS";"036112";"ADQUISICION DE BIENES Y SERVICIOS - ARRENDAMIENTOS";"037112";"ADQUISICION DE BIENES Y SERVICIOS - ARRENDAMIENTOS";"037802";"GASTOS GENERALES"
"032113";"ADQUISICION DE BIENES Y SERVICIOS - VIATICOS Y GASTOS DE VIAJE";"033213";"ADQUISICION DE BIENES Y SERVICIOS - VIATICOS Y GASTOS DE VIAJE";"035113";"ADQUISICION DE BIENES Y SERVICIOS - VIATICOS Y GASTOS DE VIAJE";"036113";"ADQUISICION DE BIENES Y SERVICIOS - VIATICOS Y GASTOS DE VIAJE";"037113";"ADQUISICION DE BIENES Y SERVICIOS - VIATICOS Y GASTOS DE VIAJE";"037802";"GASTOS GENERALES"
"032114";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS DE OPERACION ADUANERA";"033214";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS DE OPERACION ADUANERA";"035114";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS DE OPERACION ADUANERA";"036114";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS DE OPERACION ADUANERA";"037114";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS DE OPERACION ADUANERA";"037802";"GASTOS GENERALES"
"032115";"ADQUISICION DE BIENES Y SERVICIOS - COSTOS JUDICIALES";"";"";"";"";"";"";"";"";"";""
"032116";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS JUDICIALES";"033216";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS JUDICIALES";"035116";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS JUDICIALES";"036116";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS JUDICIALES";"037116";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS JUDICIALES";"037802";"GASTOS GENERALES"
"032117";"ADQUISICION DE BIENES Y SERVICIOS - TRANSPORTE DE PRESOS";"033217";"ADQUISICION DE BIENES Y SERVICIOS - TRANSPORTE DE PRESOS";"035117";"ADQUISICION DE BIENES Y SERVICIOS - TRANSPORTE DE PRESOS";"036117";"ADQUISICION DE BIENES Y SERVICIOS - TRANSPORTE DE PRESOS";"037117";"ADQUISICION DE BIENES Y SERVICIOS - TRANSPORTE DE PRESOS";"037802";"GASTOS GENERALES"
"032119";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS IMPREVISTOS";"033219";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS IMPREVISTOS";"035119";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS IMPREVISTOS";"036119";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS IMPREVISTOS";"037119";"ADQUISICION DE BIENES Y SERVICIOS - GASTOS IMPREVISTOS";"037802";"GASTOS GENERALES"
"032120";"ADQUISICION DE BIENES Y SERVICIOS - COMPRA DE SEMOVIENTES";"033220";"ADQUISICION DE BIENES Y SERVICIOS - COMPRA DE SEMOVIENTES";"035120";"ADQUISICION DE BIENES Y SERVICIOS - COMPRA DE SEMOVIENTES";"036120";"ADQUISICION DE BIENES Y SERVICIOS - COMPRA DE SEMOVIENTES";"037120";"ADQUISICION DE BIENES Y SERVICIOS - COMPRA DE SEMOVIENTES";"037802";"GASTOS GENERALES"
"032121";"ADQUISICION DE BIENES Y SERVICIOS - SOSTENIMIENTO DE SEMOVIENTES";"033221";"ADQUISICION DE BIENES Y SERVICIOS - SOSTENIMIENTO DE SEMOVIENTES";"035121";"ADQUISICION DE BIENES Y SERVICIOS - SOSTENIMIENTO DE SEMOVIENTES";"036121";"ADQUISICION DE BIENES Y SERVICIOS - SOSTENIMIENTO DE SEMOVIENTES";"037121";"ADQUISICION DE BIENES Y SERVICIOS - SOSTENIMIENTO DE SEMOVIENTES";"037802";"GASTOS GENERALES"
"032123";"ADQUISICION DE BIENES Y SERVICIOS - CAPACITACION, BIENESTAR SOCIAL Y ESTIMULOS";"033223";"ADQUISICION DE BIENES Y SERVICIOS - CAPACITACION, BIENESTAR SOCIAL Y ESTIMULOS";"035123";"ADQUISICION DE BIENES Y SERVICIOS - CAPACITACION, BIENESTAR SOCIAL Y ESTIMULOS";"036123";"ADQUISICION DE BIENES Y SERVICIOS - CAPACITACION, BIENESTAR SOCIAL Y ESTIMULOS";"037123";"ADQUISICION DE BIENES Y SERVICIOS - CAPACITACION, BIENESTAR SOCIAL Y ESTIMULOS";"037802";"GASTOS GENERALES"
