2720,Fabricacion de pilas baterias y acumuladores electricos,0.003
2731,Fabricacion de hilos y cables electricos y de fibra optica,0.003
2732,Fabricacion de dispositivos de cableado,0.003
2740,Fabricacion de equipos electricos de iluminacion,0.003
2750,Fabricacion de aparatos de uso domestico,0.003
2790,Fabricacion de otros tipos de equipo electrico n.c.p.,0.003
2811,Fabricacion de motores turbinas y partes para motores de combustion interna,0.003
2812,Fabricacion de equipos de potencia hidraulica y neumatica,0.003
2813,Fabricacion de otras bombas compresores grifos y valvulas,0.003
2814,Fabricacion de cojinetes engranajes trenes de engranajes y piezas de transmision,0.003
2815,Fabricacion de hornos hogares y quemadores industriales,0.003
2816,Fabricacion de equipo de elevacion y manipulacion,0.003
2817,Fabricacion de maquinaria y equipo de oficina (excepto computadoras y equipo periferico),0.003
2818,Fabricacion de herramientas manuales con motor,0.003
2819,Fabricacion de otros tipos de maquinaria y equipo de uso general n.c.p.,0.003
2821,Fabricacion de maquinaria agropecuaria y forestal,0.003
2822,Fabricacion de maquinas formadoras de metal y de maquinas herramienta,0.003
2823,Fabricacion de maquinaria para la metalurgia,0.003
2824,Fabricacion de maquinaria para explotacion de minas y canteras y para obras de construccion,0.003
2825,Fabricacion de maquinaria para la elaboracion de alimentos bebidas y tabaco,0.003
2826,Fabricacion de maquinaria para la elaboracion de productos textiles prendas de vestir y cueros,0.003
2829,Fabricacion de otros tipos de maquinaria y equipo de uso especial n.c.p.,0.003
2910,Fabricacion de vehiculos automotores y sus motores,0.003
2920,Fabricacion de carrocerias para vehiculos automotores; fabricacion de remolques y semirremolques,0.003
2930,Fabricacion de partes piezas (autopartes) y accesorios (lujos) para vehiculos automotores,0.003
3011,Construccion de barcos y de estructuras flotantes,0.003
3012,Construccion de embarcaciones de recreo y deporte,0.003
3020,Fabricacion de locomotoras y de material rodante para ferrocarriles,0.003
3030,Fabricacion de aeronaves naves espaciales y de maquinaria conexa,0.003
3040,Fabricacion de vehiculos militares de combate,0.003
3091,Fabricacion de motocicletas,0.003
3092,Fabricacion de bicicletas y de sillas de ruedas para personas con discapacidad,0.003
3099,Fabricacion de otros tipos de equipo de transporte n.c.p.,0.003
3110,Fabricacion de muebles,0.003
3120,Fabricacion de colchones y somieres,0.003
3210,Fabricacion de joyas bisuteria y articulos conexos,0.003
3220,Fabricacion de instrumentos musicales,0.003
3230,Fabricacion de articulos y equipo para la practica del deporte,0.003
3240,Fabricacion de juegos juguetes y rompecabezas,0.003
3250,Fabricacion de instrumentos aparatos y materiales medicos y odontologicos (incluido mobiliario),0.003
3290,Otras industrias manufactureras n.c.p.,0.003
3311,Mantenimiento y reparacion especializado de productos elaborados en metal,0.003
3312,Mantenimiento y reparacion especializado de maquinaria y equipo,0.003
3313,Mantenimiento y reparacion especializado de equipo electronico y optico,0.003
3314,Mantenimiento y reparacion especializado de equipo electrico,0.003
3315,Mantenimiento y reparacion especializado de equipo de transporte excepto los vehiculos automotores motocicletas y bicicletas,0.003
3319,Mantenimiento y reparacion de otros tipos de equipos y sus componentes n.c.p.,0.003
3320,Instalacion especializada de maquinaria y equipo industrial,0.003
3511,Generacion de energia electrica,0.015
3512,Transmision de energia electrica,0.015
3513,Distribucion de energia electrica,0.015
3514,Comercializacion de energia electrica,0.015
3520,Produccion de gas; distribucion de combustibles gaseosos por tuberias,0.015
3530,Suministro de vapor y aire acondicionado,0.015
3600,Captacion tratamiento y distribucion de agua,0.015
3700,Evacuacion y tratamiento de aguas residuales,0.015
3811,Recoleccion de desechos no peligrosos,0.015
3812,Recoleccion de desechos peligrosos,0.015
3821,Tratamiento y disposicion de desechos no peligrosos,0.015
3822,Tratamiento y disposicion de desechos peligrosos,0.015
3830,Recuperacion de materiales,0.015
3900,Actividades de saneamiento ambiental y otros servicios de gestion de desechos,0.015
4111,Construccion de edificios residenciales,0.006
4112,Construccion de edificios no residenciales,0.006
4210,Construccion de carreteras y vias de ferrocarril,0.006
4220,Construccion de proyectos de servicio publico,0.006
4290,Construccion de otras obras de ingenieria civil,0.006
4311,Demolicion,0.006
4312,Preparacion del terreno,0.006
4321,Instalaciones electricas,0.006
4322,Instalaciones de fontaneria calefaccion y aire acondicionado,0.006
4329,Otras instalaciones especializadas,0.006
4330,Terminacion y acabado de edificios y obras de ingenieria civil,0.006
4390,Otras actividades especializadas para la construccion de edificios y obras de ingenieria civil,0.006
4511,Comercio de vehiculos automotores nuevos,0.003
4512,Comercio de vehiculos automotores usados,0.003
4520,Mantenimiento y reparacion de vehiculos automotores,0.003
4530,Comercio de partes piezas (autopartes) y accesorios (lujos) para vehiculos automotores,0.003
4541,Comercio de motocicletas y de sus partes piezas y accesorios,0.003
4542,Mantenimiento y reparacion de motocicletas y de sus partes y piezas,0.003
4610,Comercio al por mayor a cambio de una retribucion o por contrata,0.003
4620,Comercio al por mayor de materias primas agropecuarias; animales vivos,0.003
4631,Comercio al por mayor de productos alimenticios,0.003
4632,Comercio al por mayor de bebidas y tabaco,0.003
4641,Comercio al por mayor de productos textiles productos confeccionados para uso domestico,0.003
4642,Comercio al por mayor de prendas de vestir,0.003
4643,Comercio al por mayor de calzado,0.003
4644,Comercio al por mayor de aparatos y equipo de uso domestico,0.003
4645,Comercio al por mayor de productos farmaceuticos medicinales cosmeticos y de tocador,0.003
4649,Comercio al por mayor de otros utensilios domesticos n.c.p.,0.003
4651,Comercio al por mayor de computadores equipo periferico y programas de informatica,0.003
4652,Comercio al por mayor de equipo partes y piezas electronicos y de telecomunicaciones,0.003
4653,Comercio al por mayor de maquinaria y equipo agropecuarios,0.003
4659,Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.,0.003
4661,Comercio al por mayor de combustibles solidos liquidos gaseosos y productos conexos,0.003
4662,Comercio al por mayor de metales y productos metaliferos,0.003
4663,Comercio al por mayor de materiales de construccion articulos de ferreteria pinturas productos de vidrio equipo y materiales de fontaneria y calefaccion,0.003
4664,Comercio al por mayor de productos quimicos basicos cauchos y plasticos en formas primarias y productos quimicos de uso agropecuario,0.003
