"020309";"TASA POR UTILIZACIÓN DE RECURSOS NATURALES";"021709";"TASA POR UTILIZACIÓN DE RECURSOS NATURALES";"022409";"TASA POR UTILIZACIÓN DE RECURSOS NATURALES";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020310";"TASA POR CONTAMINACIÓN DE RECURSOS NATURALES";"021710";"TASA POR CONTAMINACIÓN DE RECURSOS NATURALES";"022410";"TASA POR CONTAMINACIÓN DE RECURSOS NATURALES";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020311";"TASA POR SERVICIOS ADUANEROS";"021711";"TASA POR SERVICIOS ADUANEROS";"022411";"TASA POR SERVICIOS ADUANEROS";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020312";"TASA POR SERVICIOS NOTARIALES";"021712";"TASA POR SERVICIOS NOTARIALES";"022412";"TASA POR SERVICIOS NOTARIALES";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020313";"TASA- PARTICIPACIÓN EN PLUSVALÍA";"021713";"TASA- PARTICIPACIÓN EN PLUSVALÍA";"022413";"TASA- PARTICIPACIÓN EN PLUSVALÍA";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020314";"TASA - LICENCIAS DE CONSTRUCCIÓN";"021714";"TASA - LICENCIAS DE CONSTRUCCIÓN";"022414";"TASA - LICENCIAS DE CONSTRUCCIÓN";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020315";"TASA - PLIEGOS DE LICITACIONES";"021715";"TASA - PLIEGOS DE LICITACIONES";"022415";"TASA - PLIEGOS DE LICITACIONES";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020316";"TASA - ALQUILER MAQUINARIA Y EQUIPO";"021716";"TASA - ALQUILER MAQUINARIA Y EQUIPO";"022416";"TASA - ALQUILER MAQUINARIA Y EQUIPO";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020317";"TASA - ARRENDAMIENTOS";"021717";"TASA - ARRENDAMIENTOS";"022417";"TASA - ARRENDAMIENTOS";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020318";"TASA - PUBLICACIONES";"021718";"TASA - PUBLICACIONES";"022418";"TASA - PUBLICACIONES";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020319";"TASA POR REGISTRO DE MARCAS, QUEMADORES Y HERRETES";"021719";"TASA POR REGISTRO DE MARCAS, QUEMADORES Y HERRETES";"022419";"TASA POR REGISTRO DE MARCAS, QUEMADORES Y HERRETES";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020320";"TASA POR PESAS Y MEDIDAS";"021720";"TASA POR PESAS Y MEDIDAS";"022420";"TASA POR PESAS Y MEDIDAS";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020321";"OTRAS TASAS";"021721";"OTRAS TASAS";"022421";"OTRAS TASAS";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020322";"MULTAS Y SANCIONES POR IMPUESTOS";"021722";"MULTAS Y SANCIONES POR IMPUESTOS";"022422";"MULTAS Y SANCIONES POR IMPUESTOS";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020323";"OTRAS MULTAS Y SANCIONES";"021723";"OTRAS MULTAS Y SANCIONES";"022423";"OTRAS MULTAS Y SANCIONES";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020324";"INTERESES POR IMPUESTOS";"021724";"INTERESES POR IMPUESTOS";"022424";"INTERESES POR IMPUESTOS";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020325";"OTROS INTERESES";"021725";"OTROS INTERESES";"022425";"OTROS INTERESES";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020326";"CONTRIBUCIÓN POR EXPORTACIÓN Y EXPLOTACIÓN DE PETRÓLEO, CRUDO, GAS LIBRE, CARBÓN Y FERRO NÍQUEL.";"021726";"CONTRIBUCIÓN POR EXPORTACIÓN Y EXPLOTACIÓN DE PETRÓLEO, CRUDO, GAS LIBRE, CARBÓN Y FERRO NÍQUEL.";"022426";"CONTRIBUCIÓN POR EXPORTACIÓN Y EXPLOTACIÓN DE PETRÓLEO, CRUDO, GAS LIBRE, CARBÓN Y FERRO NÍQUEL.";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020327";"CONTRIBUCIÓN SOBRE CONTRATOS DE OBRAS PÚBLICAS";"021727";"CONTRIBUCIÓN SOBRE CONTRATOS DE OBRAS PÚBLICAS";"022427";"CONTRIBUCIÓN SOBRE CONTRATOS DE OBRAS PÚBLICAS";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020329";"CONTRIBUCIÓN A LA VALORIZACIÓN";"021729";"CONTRIBUCIÓN A LA VALORIZACIÓN";"022429";"CONTRIBUCIÓN A LA VALORIZACIÓN";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020331";"CONCESIONES DE LARGA DISTANCIA";"021731";"CONCESIONES DE LARGA DISTANCIA";"022431";"CONCESIONES DE LARGA DISTANCIA";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020332";"CONCESIÓN SISTEMA PERSONALIZADO DE COMUNICACIÓN";"021732";"CONCESIÓN SISTEMA PERSONALIZADO DE COMUNICACIÓN";"022432";"CONCESIÓN SISTEMA PERSONALIZADO DE COMUNICACIÓN";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020335";"CONCESIÓN  DE SOCIEDADES PORTUARIAS";"021735";"CONCESIÓN  DE SOCIEDADES PORTUARIAS";"022435";"CONCESIÓN  DE SOCIEDADES PORTUARIAS";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020336";"REGALÍAS Y COMPENSACIONES PETROLERAS";"021736";"REGALÍAS Y COMPENSACIONES PETROLERAS";"022436";"REGALÍAS Y COMPENSACIONES PETROLERAS";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020337";"REGALÍAS Y COMPENSACIONES CARBONÍFERAS";"021737";"REGALÍAS Y COMPENSACIONES CARBONÍFERAS";"022437";"REGALÍAS Y COMPENSACIONES CARBONÍFERAS";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020338";"REGALÍAS Y COMPENSACIONES GAS NATURAL";"021738";"REGALÍAS Y COMPENSACIONES GAS NATURAL";"022438";"REGALÍAS Y COMPENSACIONES GAS NATURAL";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020339";"OTRAS REGALÍAS Y COMPENSACIONES";"021739";"OTRAS REGALÍAS Y COMPENSACIONES";"022439";"OTRAS REGALÍAS Y COMPENSACIONES";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020340";"VENTA DE BIENES PRODUCIDOS";"021740";"VENTA DE BIENES PRODUCIDOS";"022440";"VENTA DE BIENES PRODUCIDOS";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
"020341";"VENTA DE BIENES POR OPERACIONES DE COMERCIALIZACIÓN";"021741";"VENTA DE BIENES POR OPERACIONES DE COMERCIALIZACIÓN";"022441";"VENTA DE BIENES POR OPERACIONES DE COMERCIALIZACIÓN";"023102";"INGRESOS NO TRIBUTARIOS";"024302";"INGRESOS NO TRIBUTARIOS"
