020802;Instituto Colombiano de Bienestar Familiar - ICBF;D;NC;D
020803;Escuela Superior de Administracion Publica - ESAP;D;NC;D
020804;Cotizacion pensiones  empleados;D;NC;D
020805;Cuota de fomento;D;NC;D
020806;Cuota de contribucion cafetera;D;NC;D
020807;Fondo de promocion turistica;D;NC;D
020808;Fondo de prestaciones sociales del magisterio  Ce;D;NC;D
020809;Fondo de prestaciones sociales del magisterio  af;D;NC;D
020810;Fondo de prestaciones sociales del magisterio  af;D;NC;D
020811;Fondo de prestaciones sociales del magisterio  pa;D;NC;D
020812;Fondo de prestaciones sociales del magisterio  pa;D;NC;D
020813;Fondo de prestaciones del magisterio  rendimiento;D;NC;D
020814;Fondo de prestaciones del magisterio  intereses;D;NC;D
020890;Otras rentas parafiscales.;D;NC;D
0209;INGRESOS POR FONDOS ESPECIALES APROBADOS (DB);M;NC;D
020901;Contribucion a Superintendencias;D;NC;D
020902;Cuota de fiscalizacion y auditaje;D;NC;D
020903;Comisiones de Regulacion;D;NC;D
020904;Escuelas industriales e Institutos Tecnicos;D;NC;D
020905;Financiacion sector justicia;D;NC;D
020906;Fondo defensa nacional;D;NC;D
020907;Fondo Estupefacientes Salud;D;NC;D
020908;Fondos internos Ministerio de defensa;D;NC;D
020909;Fondos internos Policia Nacional;D;NC;D
020910;Fondo de publicaciones de la Contraloria General d;D;NC;D
020911;Fondo rotatorio Ministerio de Minas y Energia;D;NC;D
020912;Fondo Nacional de Regalias;D;NC;D
020913;Fondo de solidaridad y garantia en la salud;D;NC;D
020914;Fondo de solidaridad pensional;D;NC;D
020915;Fondo de riesgos profesionales;D;NC;D
020916;Fondo salud Fuerzas Militares;D;NC;D
020917;Fondo salud Policia Nacional;D;NC;D
020918;Fondo compensacion ambiental;D;NC;D
020919;Pensiones EPSA-CVC;D;NC;D
020920;Fondo solidaridad para subsidios y redistribucion;D;NC;D
020921;Fondo de pensiones Superintendencias y Carbocol;D;NC;D
020922;Unidad Administrativa Especial de Comercio Exterio;D;NC;D
020923;Fondo seguridad y convivencia ciudadana;D;NC;D
020924;Fondo subsidio sobretasa gasolina;D;NC;D
020925;Instituto de estudios del Ministerio Publico;D;NC;D
020926;Junta Central de Contadores;D;NC;D
020927;Fondo de la sobretasa al ACPM;D;NC;D
020928;Fondo para defensa de derechos e intereses colecti;D;NC;D
020929;Fondo de investigacion en salud;D;NC;D
020930;Fondo conservacion de museos y teatros;D;NC;D
020931;Fondo apoyo financiero zonas no interconectadas;D;NC;D
020932;Fondo apoyo financiero zonas rurales interconectad;D;NC;D
020933;Fondo Escuela Nacional del Deporte;D;NC;D
020934;Fondo recursos monitoreo y vigilancia educacion su;D;NC;D
020935;Fondo Fonpet magisterio;D;NC;D
020936;Fondo especial de energia social  FOES;D;NC;D
020937;Fondo de pensiones del Fondo Rotatorio de Notariad;D;NC;D
020938;Fondo Especial Comision Nacional de Busqueda;D;NC;D
020990;Otros fondos especiales nacionales;D;NC;D
020991;Otros fondos especiales territoriales;D;NC;D
0213;DISPONIBILIDAD INICIAL APROBADA (DB);M;NC;D
021301;Disponibilidad inicial;D;NC;D
0216;INGRESOS TRIBUTARIOS POR EJECUTAR (CR);M;NC;C
021601;Impuesto sobre la renta y complementarios;D;NC;C
021602;Impuesto al patrimonio;D;NC;C
021603;Impuesto sobre aduanas y recargos;D;NC;C
021604;Impuesto al valor agregado - IVA;D;NC;C
021605;Impuesto a la gasolina y al ACPM;D;NC;C
021606;Impuesto de timbre nacional;D;NC;C
021607;Impuesto de timbre nacional sobre salidas al exter;D;NC;C
021608;Impuesto a la explotacion de Oro Plata y al Plati;D;NC;C
021609;Impuesto a las transacciones financieras;D;NC;C
021610;Impuesto al encaje;D;NC;C
021611;Impuesto sobre armas y municiones;D;NC;C
021612;Retencion en la fuente impuestos nacionales;D;NC;C
021613;Sobretasa impuesto sobre la renta y complementario;D;NC;C
021614;Sobretasa a la gasolina;D;NC;C
021615;Sobretasa al ACPM;D;NC;C
021625;Impuesto de registro;D;NC;C
021626;Impuesto a ganadores sorteos ordinarios;D;NC;C
021627;Impuesto a ganadores sorteos extraordinarios;D;NC;C
021628;Impuestos a loterias foraneas;D;NC;C
021629;Impuesto sobre juego de apuestas permanente - chan;D;NC;C
021630;Impuesto sobre vehiculos automotores;D;NC;C
021631;Impuesto al consumo de licores vinos aperitivos y;D;NC;C
021632;Impuesto al consumo de licores vinos aperitivos;D;NC;C
021633;Impuesto al consumo de licores vinos aperitivos;D;NC;C
021634;Impuesto al consumo de tabaco y cigarrillos nacion;D;NC;C
021635;Impuesto al consumo de tabaco y cigarrillos extran;D;NC;C
021636;Impuesto al consumo de cerveza nacional;D;NC;C
021637;Impuesto al consumo de cerveza extranjera;D;NC;C
021638;Derechos de explotacion de juegos de suerte y azar;D;NC;C
021639;Derechos de explotacion de monopolio de licores;D;NC;C
021640;Impuesto predial unificado;D;NC;C
021641;Impuesto de industria y comercio;D;NC;C
021642;Impuesto de avisos y tableros;D;NC;C
021643;Impuesto a publicidad exterior visual;D;NC;C
021644;Impuesto a juegos promocionales;D;NC;C
021645;Impuesto sobre rifa de circulacion;D;NC;C
021646;Impuesto sobre eventos hipicos caninos y similare;D;NC;C
021647;Impuesto sobre juegos de suerte y azar novedosos;D;NC;C
021648;Impuesto de circulacion y transito;D;NC;C
021649;IVA de licores a productores;D;NC;C
021650;IVA de licores a distribuidores;D;NC;C
021651;Impuesto a la venta de cerveza 8%;D;NC;C
021652;Impuesto por el uso del subsuelo;D;NC;C
021653;Impuesto de transporte de hidrocarburos;D;NC;C
021654;Impuesto sobre el servicio de alumbrado publico;D;NC;C
021655;Impuesto de delineacion urbana;D;NC;C
021656;Impuesto a degüello de ganado mayor;D;NC;C
021657;Impuesto a degüello de ganado menor;D;NC;C
021658;Impuesto de espectaculos publicos;D;NC;C
