M;15;806;Tibasosa;
M;15;808;Tinjaca;
M;15;810;Tipacoque;
M;15;814;Toca;
M;15;816;Togui;
M;15;820;Topaga;
M;15;822;Tota;
M;15;832;Tunungua;
M;15;835;Turmeque;
M;15;837;Tuta;
M;15;839;Tutasa;
M;15;842;Umbita;
M;15;861;Ventaquemada;
M;15;879;Viracacha;
M;15;897;Zetaquira;
M;17;001;Manizales;
M;17;013;Aguadas;
M;17;042;Anserma;
M;17;050;Aranzazu;
M;17;088;Belalcazar;
M;17;174;Chinchina;
M;17;272;Filadelfia;
M;17;380;La Dorada;
M;17;388;La Merced;
M;17;433;Manzanares;
M;17;442;Marmato;
M;17;444;Marquetalia;
M;17;446;Marulanda;
M;17;486;Neira;
M;17;495;Norcasia;
M;17;513;Pacora;
M;17;524;Palestina;
M;17;541;Pensilvania;
M;17;614;Riosucio;
M;17;616;Risaralda;
M;17;653;Salamina;
M;17;662;Samana;
M;17;665;San Jose;
M;17;777;Supia;
M;17;867;Victoria;
M;17;873;Villamaria;
M;17;877;Viterbo;
M;18;001;Florencia;
M;18;029;Albania;
M;18;094;Belen Andaquies;
M;18;150;Cartagena del Chaira;
M;18;205;Curillo;
M;18;247;El Doncello;
M;18;256;El Paujil;
M;18;410;La Montañita;
M;18;460;Milan;
M;18;479;Morelia;
M;18;592;Puerto Rico;
M;18;610;San Jose de Fragua;
M;18;753;San Vicente del Caguan;
M;18;756;Solano;
M;18;785;Solita;
M;18;860;Valparaiso;
M;85;001;Yopal;
M;85;010;Aguazul;
M;85;015;Chameza;
M;85;125;Hato Corozal;
M;85;136;La Salina;
M;85;139;Mani;
M;85;162;Monterrey;
M;85;225;Nunchia;
M;85;230;Orocue;
M;85;250;Paz de Ariporo;
M;85;263;Pore;
M;85;279;Recetor;
M;85;300;Sabanalarga;
M;85;315;Sacama;
M;85;325;San Luis de Palenque;
M;85;400;Tamara;
M;85;410;Tauramena;
M;85;430;Trinidad;
M;85;440;Villanueva;
M;19;001;Popayan;
M;19;022;Almaguer;
M;19;050;Argelia;
M;19;075;Balboa;
M;19;100;Bolivar;
M;19;110;Buenos Aires;
M;19;130;Cajibio;
M;19;137;Caldono;
M;19;142;Caloto;
M;19;212;Corinto;
M;19;256;El Tambo;
M;19;290;Florencia;
M;19;318;Guapi;
M;19;355;Inza;
M;19;364;Jambalo;
M;19;392;La Sierra;
M;19;397;La Vega;
M;19;418;Lopez;
M;19;450;Mercaderes;
M;19;455;Miranda;
M;19;473;Morales;
M;19;513;Padilla;
M;19;517;Paez;
M;19;532;Patia(El Bordo);
M;19;533;Piamonte;
M;19;548;Piendamo;
M;19;573;Puerto Tejada;
M;19;585;Purace;
M;19;622;Rosas;
M;19;693;San Sebastian;
M;19;698;Santander de Quilichao;
M;19;701;Santa Rosa;
M;19;743;Silvia;
M;19;760;Sotara;
M;19;780;Suarez;
M;19;785;Sucre;
M;19;807;Timbio;
M;19;809;Timbiqui;
M;19;821;Toribio;
M;19;824;Totoro;
M;19;845;Villa Rica;
M;20;001;Valledupar;
M;20;011;Aguachica;
M;20;013;Agustin Codazzi;
M;20;032;Astrea;
M;20;045;Becerril;
M;20;060;Bosconia;
M;20;175;Chimichagua;
M;20;178;Chiriguana;
M;20;228;Curumani;
M;20;238;El Copey;
M;20;250;El Paso;
M;20;295;Gamarra;
M;20;310;Gonzalez;
M;20;383;La Gloria;
M;20;400;La Jagua Ibirico;
M;20;443;Manaure Balcon del Cesar;
M;20;517;Pailitas;
M;20;550;Pelaya;
M;20;570;Pueblo Bello;
M;20;614;Rio de Oro;
M;20;621;Robles(La Paz);
M;20;710;San Alberto;
M;20;750;San Diego;
M;20;770;San Martin;
M;20;787;Tamalameque;
M;27;001;Quibdo;
M;27;006;Acandi;
M;27;025;Alto Baudo(Pie de Pato);
M;27;050;Atrato;
M;27;073;Bagado;
M;27;075;Bahia Solano(Mutis);
M;27;077;Bajo Baudo(Pizarro);
M;27;086;;
M;27;099;Bojaya(Bellavista);
M;27;135;Canton de San Pablo;
M;27;150;Carmen del Darien;
M;27;160;Cartegui;
M;27;205;Condoto;
M;27;245;El Carmen;
M;27;250;Litoral del San Juan;
M;27;361;Istmina;
M;27;372;Jurado;
M;27;413;Lloro;
M;27;425;Medio Atrato;
M;27;430;Medio Baudo(Boca de Pepe);
M;27;450;Medio San Juan;
M;27;491;Novita;
M;27;495;Nuqui;
M;27;580;Rio Iro;
M;27;600;Rio Quito;
M;27;615;Rio Sucio;
M;27;660;San Jose del Palmar;
M;27;745;Sipi;
M;27;787;Tado;
M;27;800;Unguia;
M;27;810;Union Panamericana;
M;23;001;Monteria;
M;23;068;Ayapel;
M;23;079;Buenavista;
M;23;090;Canalete;
M;23;162;Cerete;
M;23;168;Chima;
M;23;182;Chinu;
M;23;189;Cienaga de Oro;
M;23;300;Cotorra;
M;23;350;La Apartada;
M;23;417;Lorica;
M;23;419;Los Cordobas;
M;23;464;Momil;
M;23;466;Montelibano;
M;23;500;Moñitos;
M;23;555;Planeta Rica;
M;23;570;Pueblo Nuevo;
M;23;574;Puerto Escondido;
M;23;580;Puerto Libertador;
M;23;586;Purisma;
M;23;660;Sahagun;
M;23;670;San Andres Sotavento;
M;23;672;San Antero;
M;23;675;San Bernardo Viento;
M;23;678;San carlos;
M;23;686;San Pelayo;
M;23;807;Tierralta;
M;23;855;Valencia;
M;25;001;Bogota;
M;25;019;Alaban;
M;25;035;Anapoima;
M;25;040;Anolaima;
M;25;053;Arbelaez;
M;25;086;Beltran;
M;25;095;Bituima;
M;25;099;Bojaca;
M;25;120;Cabrera;
M;25;123;Cachipay;
M;25;126;Cajica;
M;25;148;Caparrapi;
M;25;151;Caqueza;
M;25;154;Carmen de Carupa;
M;25;168;Chaguani;
M;25;175;Chia;
M;25;178;Chipaque;
M;25;181;Choachi;
M;25;183;Choconta;
M;25;200;Cogua;
M;25;214;Cota;
M;25;224;Cucunuba;
M;25;245;El Colegio;
M;25;258;El Peñon;
M;25;260;El Rosal;
M;25;269;Facatativa;
M;25;279;Fomeque;
M;25;281;Fosca;
M;25;286;Funza;
M;25;288;Fuquene;
M;25;290;Fusagasuga;
M;25;293;Gachala;
M;25;295;Gachancipa;
M;25;297;Gacheta;
M;25;299;Gama;
M;25;307;Girardot;
M;25;312;Granada;
M;25;317;Guacheta;
M;25;320;Guadas;
M;25;322;Guasca;
M;25;324;Guataqui;
M;25;326;Guatavita;
M;25;328;Guayabal de Siquima;
M;25;335;Guayabetal;
M;25;339;Gutierrez;
M;25;368;Jerusalen;
M;25;372;Junin;
M;25;377;La Calera;
M;25;386;La Mesa;
M;25;394;La Palma;
M;25;398;La Peña;
M;25;402;La Vega;
M;25;407;Lenguazque;
M;25;426;Macheta;
M;25;430;Madrid;
M;25;436;Manta;
M;25;438;Medina;
M;25;473;Mosquera;
M;25;483;Nariño;
M;25;486;Nemocon;
M;25;488;Nilo;
M;25;489;Nimaima;
M;25;491;Nocaima;
M;25;506;Venecia(Ospina Perez);
M;25;513;Pacho;
M;25;518;Paime;
M;25;524;Pandi;
M;25;530;Paratebueno;
M;25;535;Pasca;
M;25;572;Puerto Salgar;
M;25;580;Puli;
M;25;592;Quebradanegra;
M;25;594;Quetame;
M;25;596;Quipile;
M;25;599;Rafael Reyes;
M;25;612;Ricaurte;
M;25;645;San Antonio del Tequendama;
M;25;649;San Bernardo;
M;25;653;San Cayetano;
M;25;658;San Francisco;
M;25;662;San Juan de Rioseco;
M;25;718;Sasaima;
M;25;736;Sesquile;
M;25;740;Sibate;
M;25;743;Silvania;
M;25;745;Simijaca;
M;25;754;Soacha;
M;25;758;Sopo;
M;25;769;Subachoque;
M;25;772;Suesca;
M;25;777;Supata;
M;25;779;Susa;
M;25;781;Sutatausa;
M;25;785;Tabio;
M;25;793;Tausa;
M;25;797;Tena;
M;25;799;Tenjo;
M;25;805;Tibacuy;
M;25;807;Tibirita;
M;25;815;Tocaima;
M;25;817;Tocancipa;
M;25;823;Topaipi;
M;25;839;Ubala;
M;25;841;Ubaque;
M;25;843;Ubate;
M;25;845;Une;
M;25;851;Utica;
M;25;862;Vergara;
M;25;867;Viani;
M;25;871;Villagomez;
M;25;873;Villapinzon;
M;25;875;Villeta;
M;25;878;Viota;
M;25;885;Yacopi;
M;25;898;Zipacon;
M;25;899;Zipaquira;
M;94;001;Puerto Inirida;
M;94;343;Barranco Minas;
M;94;343;Guaviare (Barranco Minas);
M;94;663;Mapiripana;
M;94;883;San Felipe;
M;94;884;Puerto Colombia;
M;94;885;La Guadalupe;
M;94;886;Cacahual;
M;94;887;Pana Pana (Campo Alegre);
M;94;888;Morichal Nuevo;
M;44;001;Riohacha;
M;44;035;Albania;
M;44;078;Barrancas;
M;44;090;Dibulla;
M;44;098;Distraccion;
M;44;110;El Molino;
M;44;279;Fonseca;
M;44;378;Hatonuevo;
M;44;420;La jagua del Pilar;
M;44;430;Maicao;
M;44;560;Manaure;
M;44;650;San Juan del Cesar;
M;44;847;Uribia;
M;44;855;Urumita;
M;44;874;Villanueva;
M;95;001;San Jose del Guaviare;
M;95;015;Calamar;
M;95;025;El Retorno;
M;95;200;Miraflores;
M;41;001;Neiva;
M;41;006;Acevedo;
M;41;013;Agrado;
M;41;016;Aipe;
M;41;020;Algeciras;
M;41;026;Altamira;
M;41;078;Baraya;
M;41;132;Campoalegre;
M;41;206;Colombia;
M;41;244;Elias;
M;41;298;Garzon;
M;41;306;Gigante;
M;41;319;Guadalupe;
M;41;349;Hobo;
M;41;357;Iquira;
M;41;359;Isnos;
M;41;378;La Argentina;
M;41;396;La Plata;
M;41;483;Nataga;
M;41;503;Oporapa;
M;41;518;Paicol;
M;41;524;Palermo;
M;41;530;Palestina;
M;41;548;Pital;
M;41;551;Pitalito;
M;41;615;Rivera;
M;41;660;Saladoblanco;
M;41;668;San Agustin;
M;41;676;Santa Maria;
M;41;770;Suaza;
M;41;791;Tarqui;
M;41;797;Tesalia;
M;41;799;Tello;
M;41;801;Teruel;
